id;code;name;unit;allow_fractional_sale;description
11949;14649;PORCA QD 9/16 UNF TRT ESTEIRA;Cento;True;PORCA QD 9/16 UNF TRT ESTEIRA
11950;14650;PORCA QD 5/8 UNF TRT ESTEIRA;Cento;True;PORCA QD 5/8 UNF TRT ESTEIRA
11951;14651;PORCA QD 7/8 UNF TRT ESTEIRA;Cento;True;PORCA QD 7/8 UNF TRT ESTEIRA
11952;14653;PARAF BROC FLANG PH 4,2X13 ZB;Cento;True;PARAF BROC FLANG PH 4,2X13 ZB
11956;14657;PARAF ESTEIRA 3/4X3;Cento;True;PARAF ESTEIRA 3/4X3
11960;14662;PARAF MAD FENDA LATAO 4,0X25;Cento;True;PARAF MAD FENDA LATAO 4,0X25
11961;14663;PARAF MAD FENDA LATAO 4,0X25 NIQUELAD;Cento;True;PARAF MAD FENDA LATAO 4,0X25 NIQUELAD
11974;14686;REBITE ALUM 3,2X16;Cento;True;REBITE ALUM 3,2X16
12021;14757;PARAF AAT PHIL PAN 3.9X38;Cento;True;PARAF AAT PHIL PAN 3.9X38
12022;14758;PARAF AAT PHIL PAN 3.9X6,5;Cento;True;PARAF AAT PHIL PAN 3.9X6,5
12062;14827;JOGO FURAR/PARAF COM 23 PCS BLACK D;Cento;True;JOGO FURAR/PARAF COM 23 PCS BLACK D
12063;14828;JG DE FURAR/PARAF COM 16 PCS BLACK DECKER;Cento;True;JG DE FURAR/PARAF COM 16 PCS BLACK DECKER
12064;14829;JG DE FURAR/PARAF COM 70 PCS BLACK DECKER;Cento;True;JG DE FURAR/PARAF COM 70 PCS BLACK DECKER
12088;14858;PORCA SEXT PESADA 2H 1.7/8 - 8 FIOS PP;Cento;True;PORCA SEXT PESADA 2H 1.7/8 - 8 FIOS PP
12109;14882;PORCA SEXT MB 12MM-1.25 CH 19;Cento;True;PORCA SEXT MB 12MM-1.25 CH 19
12110;14883;PORCA SEXT DUPLA M12 MA CH 19;Cento;True;PORCA SEXT DUPLA M12 MA CH 19
12127;14908;PARAF LENTILHA C/TRAVA 1/4X3/4 INOX;Cento;True;PARAF LENTILHA C/TRAVA 1/4X3/4 INOX
12133;14920;PARAF. MANIPULO 3/8X25MM PLASTICO;Cento;True;PARAF. MANIPULO 3/8X25MM PLASTICO
12146;14940;PARAF DE CENTRO 1/2X10 G.5 CB;Cento;True;PARAF DE CENTRO 1/2X10 G.5 CB
12147;14941;PARAF SEXT UNC RP 1.1/4X6 ZB;Cento;True;PARAF SEXT UNC RP 1.1/4X6 ZB
12148;14942;PARAF SEXT UNC RP 1.1/8X5.1/2 ZB;Cento;True;PARAF SEXT UNC RP 1.1/8X5.1/2 ZB
12171;14976;ARRUELA LISA INOX (A4 316) 7/8;Cento;True;ARRUELA LISA INOX (A4 316) 7/8
12172;14977;ARRUELA LISA INOX (A4 316) 5/8;Cento;True;ARRUELA LISA INOX (A4 316) 5/8
12173;14982;KIT PARAFUSAD/FURAD 12VC 50 BLACK D;Cento;True;KIT PARAFUSAD/FURAD 12VC 50 BLACK D
12174;14990;PARAF AAT CAB CHATA PHILLIPS INOX 5,5X38;Cento;True;PARAF AAT CAB CHATA PHILLIPS INOX 5,5X38
12175;14991;PARAF AAT CAB CHATA PHILLIPS INOX 5,5X45;Cento;True;PARAF AAT CAB CHATA PHILLIPS INOX 5,5X45
12182;15007;PARAF SEXT UNC RI 7/8X3;Cento;True;PARAF SEXT UNC RI 7/8X3
12188;15026;PARAF MAQ RED. FENDA 3/8X1/2 ZB;Cento;True;PARAF MAQ RED. FENDA 3/8X1/2 ZB
12191;15043;PARAF TELHA 5/16X130 ZB COMP;Cento;True;PARAF TELHA 5/16X130 ZB COMP
12215;15075;PARAF BROC CHATA PH 4,8X32  ZB;Cento;True;PARAF BROC CHATA PH 4,8X32  ZB
